Date ,Season,Year,SeasonYear,Event,Cleared,Scraped,Diaspore,Burned,SampleUnitID ,Treatment,Site,Position,Collector_1,Collector_2,Woody_Ground,Woody_Canopy,Woody_Height,Woody_Cover,Gram_Cover,Forb_Cover,Litter,Mineral_Soil,StandinWater ,Bare_Ground,AGAPUR,ALELUT,ASTUNK,BALUNI,BIGNUD,BURBIF,BURCAP,CALBAR,CARODO,CARPSE,CENASI,CHATOM,CIRLEC,CLEORI,CONCAN,CORFLO,DIOVIR,DROCAP,DROTRA,EDRUNI,EREHIE,ERICAN,ERICOM,ERIDEC,ERISTR,ERIVER,EUPCAP,EUPHIS,EUPINU,EURERY,EUTCAR,FERNUNK,HELHET,HELPEN,HYPGEN,HYPJUN,LACCAR,LACMIN,LIASPI,LILCAT,LINFLO,LOBBRE,LOBNUT,LOPAUR,LYCALO,LYCAPP,LYCPRO,MARGRA,OLDCOR,OXYTER,PELSAG,PITASP,PITOLI,PLETEN,POLCRU,POLGRA,POLHOO,POLLUT,POLNAN,POLPIN,POLPRO,POLRAM,PTEAQU,PTEPYC,RHEALI,RHEMAR,RHEPET,SABBRE,SARFLA,SARPSI,SEYCAS,SOPHIS,SYMCHA,SYNFLA,TIEFIL,TRIRAC,UTRGIB,UTRSUB,UTRUNK,XYRAMB,XYRBAL,XYRBRE,XYRCAR,XYRISO,XYRPLA,XYRSTR,XYRUNK,AGRREF,ANDARC,ANDGLO,ANDGYR,ANDVIR,ANTRUF,ARIPUR,ARISIM,ARISPI,ARISTR,CARGLA,CTEARO,CYPNAS,DICACU,DICDIC,DICENS,DICNUD,DICSTR,ERAREF,FUISCI,JUNEFF,MUHEXP,PANVIR,POAUNK,RHYBAL,RHYCEP,RHYCHA,RHYCOL,RHYFAS,RHYFER,RHYGLO,RHYGRA,RHYMEG,RHYOLI,RHYPLU,RHYUNK,SCLCIL,SCLRET,SCLTRI,SPOVAY,RHYCIL,AROARB,CARAME,CLEALN,CLIMON,CYRRAC,GAYDUM,GAYFRO,GAYMOS,HYPBRA,HYPCIS,HYPMIC,HYPUNK,ILECOR,ILEGLA,ILEMYR,KALHIR,LYOFRU,LYOLUC,MAGVIR,MORCAR,MORCER,MORINO,NYSSYL,PERPAL,PIEPHY,PINCLA,PINELL,PINPAL,QUEGEM,QUEMIN,QUEUNK,RHOVIS,RHUCOP,RUBARG,SERREP,SMIAUR,SMILAU,TOXPUB,TOXRAD,VACMYR,VACSTA,VITROT,WISFRU
8/18/2022,Summer,2022,Summer2022,2,0,1,0,1,320101,Scraped + Burned ,3,Mid,AS,CA,11,78.16,1,89.16,0.5,0,85,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,0,0,0,130000,Control,1,Bottom,CC,AHG,16,87.26,1,103.26,0,0,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,0,1,0,110010,Diaspore  ,1,Upper,CC,AHG,27.5,87,3,114.5,0,0,99,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,0,1,0,120010,Diaspore  ,1,Mid,CC,AHG,21.5,86.74,3,108.24,0,0.5,99,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,1,0,0,120100,Scraped ,1,Mid,CC,AHG,9,77.9,1,86.9,0,0,90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0
4/12/2023,Spring,2023,Spring2023,4,0,1,0,0,130010,Scraped ,1,Bottom,CC,AHG,0,83.88,1,83.88,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,1,1,0,130110,Scraped + Diaspore ,1,Bottom,CC,AHG,6,83.88,1,89.88,0,0,100,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,5,0
4/12/2023,Spring,2023,Spring2023,4,0,0,0,0,710000,Control,7,Upper,CC,AHG,1,79.98,1,80.98,0,0,99,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,0,0,0,720000,Control,7,Mid,CC,AHG,3,79.72,1,82.72,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0
4/12/2023,Spring,2023,Spring2023,4,0,0,0,0,730000,Control,7,Bottom,CC,AHG,21.5,69.58,3,91.08,0,0,99,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,5,0
