pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,BH_p
Cleared vs Cleared + Burned,1,0.12950924478696416,0.3871267188491001,0.010639112064008131,0.963,1,,0.963
Cleared vs Cleared + Diaspore,1,0.12840532088210865,0.40660054382617655,0.011817515749870727,0.945,1,,0.9595384615384615
Cleared vs Cleared + Diaspore + Burned,1,0.17688887505012507,0.5030756914053571,0.013781734329959657,0.906,1,,0.94771875
Cleared vs Cleared + Scraped,1,1.7073614937939983,4.513685981405059,0.10872766112425777,0.001,0.066,,0.0014042553191489363
Cleared vs Cleared + Scraped + Diaspore,1,3.0247312694641653,10.426355067486707,0.21984306094470515,0.001,0.066,,0.0014042553191489363
Cleared vs Cleared + Scraped + Diaspore + Burned,1,3.906737331634104,15.411864489742882,0.29977252610275756,0.001,0.066,,0.0014042553191489363
Cleared vs Control,1,1.341013171997306,4.3273866509377985,0.13386132005236692,0.001,0.066,,0.0014042553191489363
Cleared vs Diaspore,1,1.4370898047702456,4.454956839422097,0.14162972348570374,0.001,0.066,,0.0014042553191489363
Cleared vs Scraped,1,1.1804666311245808,3.370228295321389,0.10743397413604512,0.001,0.066,,0.0014042553191489363
Cleared vs Scraped + Diaspore,1,0.933488510889066,2.863663919095695,0.09278431512870103,0.002,0.132,,0.00275
Cleared vs Reference,1,2.808730619986121,9.743459070363594,0.2581496055303055,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Cleared + Diaspore,1,0.3296803231086512,1.052078558439752,0.028394589436605538,0.402,1,,0.43495081967213123
Cleared + Burned vs Cleared + Diaspore + Burned,1,0.19033961228518284,0.5478703747228523,0.014212727432073899,0.859,1,,0.9144193548387096
Cleared + Burned vs Cleared + Scraped,1,1.7772067470630846,4.767099895549984,0.10891971153964165,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Cleared + Scraped + Diaspore,1,3.103282177896467,10.731732476779147,0.2157924516663487,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Cleared + Scraped + Diaspore + Burned,1,3.9583756444400855,15.55623604331641,0.29046544702533783,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Control,1,1.2187220244107149,3.9651991505923143,0.11674299723701653,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Diaspore,1,1.2784455140493076,4.00660915387208,0.12138808731287246,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Scraped,1,1.058417088767277,3.067553145879315,0.09276625737461242,0.001,0.066,,0.0014042553191489363
Cleared + Burned vs Scraped + Diaspore,1,0.8163469165213928,2.5323352181295875,0.07784056081895929,0.006,0.396,,0.007471698113207547
Cleared + Burned vs Reference,1,2.7537212592922584,9.589018288436836,0.24221409630755095,0.001,0.066,,0.0014042553191489363
Cleared + Diaspore vs Cleared + Diaspore + Burned,1,0.38142410767406565,1.154305198029884,0.031067871997000535,0.325,1,,0.35750000000000004
Cleared + Diaspore vs Cleared + Scraped,1,2.2619032839387994,6.324226474531882,0.14597436559541516,0.001,0.066,,0.0014042553191489363
Cleared + Diaspore vs Cleared + Scraped + Diaspore,1,3.4223744237767533,12.69906957123656,0.25551926184521917,0.001,0.066,,0.0014042553191489363
Cleared + Diaspore vs Cleared + Scraped + Diaspore + Burned,1,4.306185641062016,18.53635932042809,0.33988992942337426,0.001,0.066,,0.0014042553191489363
Cleared + Diaspore vs Control,1,1.1489714003673042,4.064852546688072,0.1267697252238861,0.004,0.264,,0.00528
